programme,mlcourse,ircourse,statcourse,dbcourse,gender,chatGPT,birthday,studentestimate,stand,stress,sporthours,random,bedtime,goodday1,goodday2,stress_level,byear,bmonth
critical language scholarship,no,no,mu,nee,female,yes,3.25,300,no,42.24220338983051,10.0,360.0,01,TV shows,friends,medium,2000,3
unknown,no,no,mu,nee,female,yes,06/10/1994,300,no,35.0,4.0,47.0,01,Sports,Friends,low,1994,10
artificial intelligence,yes,yes,mu,ja,female,not willing to say,05.04.1996,200,no,76.0,0.0,35.0,00,If the to do list is empty ,If I have a new book,medium,1996,4
business analytics,yes,unknown,mu,nee,female,not willing to say,28/10/1997,140,no,30.0,3.0,5.0,02,Food,Shopping,low,1997,10
econometrics and data science,yes,no,mu,ja,female,no,04/06/2002,200,no,20.0,8.0,3.0,23,Good food,Good company,low,2002,6
computer science,no,no,unknown,ja,female,yes,21-05-2001,200,no,40.0,2.0,67.0,23,Good sleep,Good breakfast,medium,2001,5
business analytics,yes,yes,mu,ja,female,yes,20-07-2001,300,no,30.0,6.0,8.0,23,Sunshine,Nice people around me,low,2001,7
artificial intelligence,yes,yes,mu,ja,female,yes,12.12.2000,200,no,30.0,2.0,12.0,03,good warm weather ,spending time with friends ,low,2000,12
artificial intelligence,yes,no,mu,nee,female,yes,4 april 2000,240,no,30.0,8.0,4.0,00,Food,Day off,low,2000,04
artificial intelligence,yes,yes,mu,nee,male,yes,04.08.1999,260,no,12.0,6.0,8.0,01,"Gym, food and sex",Party,low,1999,8
artificial intelligence,yes,no,mu,nee,female,yes,13-05-2000,160,no,20.0,4.0,38.0,23,Seeing my friends,Working out,low,2000,5
big data engineering,yes,yes,mu,ja,male,yes,9 january,200,no,42.24220338983051,2.0,1234567890.0,04,When my family is happy,When it is sunny and snowing,medium,2000,01
bioinformatics and systems biology,yes,no,mu,nee,female,yes,06/24/1999,300,no,60.0,2.0,22.0,00,Good food,Nice weather,medium,1999,6
artificial intelligence,yes,no,sigma,ja,female,yes,10-10-2000,280,no,70.0,5.0,68.0,01,Coffee,Eggs,medium,2000,10
artificial intelligence,yes,no,unknown,nee,male,yes,24.03.1997,200,no,10.0,6.0,42.0,06,Good weather,Seeing my friends ,low,1997,3
artificial intelligence,yes,no,mu,nee,male,yes,08/09/1992,160,no,0.0,14.0,67.0,00,Working out,Eating pizza ,low,1992,9
artificial intelligence,yes,no,mu,ja,male,no,20-06-1998,160,no,99.0,10.0,222.0,03,Good sleep,Good food,high,1998,6
computer science,yes,no,sigma,nee,other,yes,14-11-2100,200,no,0.0,2.0,78675643.0,02,happy,more happy,low,2000,11
computer science,no,no,mu,ja,male,yes,04-11-2001,200,no,50.0,0.0,98934847.0,23,Rest,Games,medium,2001,11
computer science,yes,no,sigma,ja,male,yes,29-10,340,no,65.0,8.0,8.0,00,Good Weather,Good Meal,medium,2000,10
bioinformatics and systems biology,yes,no,mu,ja,female,yes,03/07/1998,200,no,25.0,0.0,42.0,00,Sleep,Food,low,1998,7
artificial intelligence,yes,yes,mu,ja,male,yes,27-08-1999,200,no,5.0,7.0,55.0,01,Not waking up tired,Eating enough through the day,low,1999,8
big data engineering,yes,no,mu,nee,female,yes,14-08-2000,300,no,99.99,5.0,42.0,00,Shopping,Shopping,high,2000,8
artificial intelligence,yes,no,mu,nee,female,yes,17 December ,240,no,25.0,0.0,88.0,00,Sleeping in ,Sun shining ,low,1999,12
artificial intelligence,yes,no,sigma,nee,female,yes,02-08-1999,180,no,20.0,3.0,28.0,21,Sunshine,Seeing friends,low,1999,8
computer science,yes,no,mu,nee,not willing to answer,yes,4,400,unknown,88.0,5.0,114514.0,04,Good weather,Good sleep,high,2000,
artificial intelligence,yes,yes,mu,ja,male,no,16/09/1998,200,no,25.0,8.0,69.0,00,Big Booty Latinas,Cats,low,1998,9
computer science,yes,no,mu,ja,female,yes,21-08,220,yes,60.0,6.0,21.0,00,Nice food ,Spending nice time with others ,medium,2000,8
artificial intelligence,yes,no,mu,ja,male,yes,18-12-1998,300,no,80.0,2.0,197307.0,02,coffee,Good sleep,high,1998,12
business analytics,yes,no,mu,nee,female,yes,08-03-2002,300,no,10.0,5.0,3572589.0,23,Sunshine,Meeting friends,low,2002,3
finiancial technology,yes,no,sigma,ja,male,yes,04/02/1995,200,no,95.0,5.0,3.14,03,Coffee,More coffee,high,1995,2
artificial intelligence,yes,yes,mu,ja,female,yes,7 January ,200,no,35.0,4.0,36.0,22,Food,Food,low,1999,01
artificial intelligence,yes,yes,mu,ja,female,yes,10 November 1998,200,no,24.0,4.0,67.0,01,Good food,Nice weather,low,1998,11
computational science,yes,yes,sigma,ja,male,yes,16/09/1996,240,no,12.0,2.0,96.0,02,Low stress but productive,Not too many complications,low,1996,9
computational science,no,no,mu,nee,female,yes,0709,200,no,60.0,6.0,33.0,00,Relax,Routine,medium,2000,
bioinformatics and systems biology,yes,no,unknown,nee,female,yes,7-03-2000,280,no,1.0,0.0,7.0,02,When I feel energetic ,When I am with friends and family,low,2000,3
computational science,yes,yes,mu,ja,male,no,24,240,no,5.0,2.0,88754.0,00,Tea,Lunch,low,2000,
artificial intelligence,yes,yes,sigma,ja,male,yes,6/9/69,0,no,8.0,4.0,0.0,01,sun,good food,low,1999,9
artificial intelligence,yes,no,mu,nee,not willing to answer,yes,1995,200,no,42.24220338983051,0.0,60.0,01,Tea,Loving ones,medium,1995,
unknown,no,no,mu,unknown,not willing to answer,no,Nov 28,300,no,20.0,0.0,19375931694.0,04,Guinea pigs,Baldur's gate 3,low,1998,11
artificial intelligence,yes,no,mu,ja,male,yes,17-10-2001,0,no,20.0,4.0,29.0,02,Eating good food,Spending time with good people,low,2001,10
artificial intelligence,yes,yes,unknown,ja,male,yes,27-08-2002,240,no,15.0,14.0,8.0,22,No assignments due in the next 3 days ,Playing games with my friends ,low,2002,8
bioinformatics and systems biology,yes,no,mu,unknown,female,no,17-03-2001,240,no,78.0,8.0,28.0,23,Doing something fun,Going outside,medium,2001,3
computer science,yes,yes,mu,nee,female,yes,5-1-1998,100,no,90.0,10.0,40.0,21,When i do not have assignments,When I passed all the modules,high,1998,1
computational finance,no,no,sigma,nee,female,not willing to say,10,200,unknown,80.0,1.0,70.0,00,Food,Sleep,high,2000,
computational science,yes,no,mu,nee,female,yes,13-march,160,no,75.0,0.0,13.0,03,good rest,sunshine,medium,2000,03
computer science,yes,no,mu,ja,male,yes,01-04-1996,360,no,90.0,6.0,373.0,02,Seks,Getting my work done,high,1996,4
artificial intelligence,yes,no,mu,ja,female,yes,29/05/1999,120,no,1.0,1.0,3.0,00,enough time for a proper breakfast,exercise,low,1999,5
artificial intelligence,yes,yes,unknown,nee,female,yes,09-09-1998,260,no,34.0,4.0,99.0,23,Being with friends,Sunshine,low,1998,9
computer science,yes,no,mu,nee,male,no,05.03.1999,300,no,60.0,1.0,5787573.0,01,A good breakfast,Time with my friends ,medium,1999,3
bioinformatics and systems biology,yes,no,mu,ja,female,not willing to say,18-11-2002,220,no,57.0,0.0,73.0,03,You,Me,medium,2002,11
artificial intelligence,yes,no,mu,ja,not willing to answer,yes,bruh,160,no,80.0,6.0,2137.0,01,Cafeteria pizza,Sun,high,1999,
bioinformatics and systems biology,yes,no,unknown,unknown,female,yes,23 July 2001,300,yes,30.0,0.0,12.0,00,sunny!,no deadline!,low,2001,07
artificial intelligence,yes,yes,mu,unknown,male,yes,18-01-2024,240,no,67.0,0.0,576.0,00,Staying at home,Finishing homework,medium,1999,1
bioinformatics and systems biology,yes,no,mu,nee,male,yes,01102000,160,unknown,20.0,10.0,66.0,23,Good meals,Easy task,low,2000,10
computer science,yes,yes,mu,ja,male,yes,19-01-2001,240,no,10.0,2.0,69420.0,00,sun,a good day of work,low,2001,1
quantitative risk management,no,no,mu,ja,non-binary,yes,22-2-1998,180,no,42.24220338983051,15.0,22.0,01,Peace ,Efficiency ,medium,1998,2
artificial intelligence,no,yes,mu,ja,female,yes,05-08,240,no,15.0,1.0,48.0,01,Enough sleep,Flowstate,low,1999,8
artificial intelligence,yes,no,sigma,ja,male,yes,05-03-2001,200,no,20.0,6.0,49.0,01,Good dinner ,Lot of free time,low,2001,3
artificial intelligence,yes,no,mu,nee,not willing to answer,yes,01-01-1998,240,no,15.0,1.0,13.0,23,Coffee,Sex,low,1998,1
human language technology,yes,unknown,unknown,ja,male,yes,09.02,140,yes,44.0,3.0,999.0,01,Good coffee,No rain,medium,1987,2
computational science,no,no,mu,nee,male,no,25 May,220,no,40.0,0.0,7.0,00,A day of productive work,A day of peace and leisure,medium,2000,05
bioinformatics and systems biology,yes,no,mu,ja,female,not willing to say,05-11-2002,300,unknown,60.0,0.0,1999.0,01,Me,You,medium,2002,11
big data,yes,yes,mu,ja,female,yes,15/09/2000,200,no,45.0,0.0,55.0,00,Sunshine ,Food ,medium,2000,9
artificial intelligence,yes,no,mu,ja,male,yes,"Oct 18, 1998",220,no,1.0,5.0,9.0,03,"Friends, Family",Food,low,1998,10
finiancial technology,yes,no,unknown,nee,female,yes,3-5-2000,360,no,90.0,4.0,31.0,02,Good company,Good food ,high,2000,5
business analytics,yes,unknown,mu,nee,female,yes,04-06-1999,300,no,50.0,5.0,1.0,23,Sunshine ,Terrace ,medium,1999,6
artificial intelligence,no,no,mu,nee,female,yes,03/10/2001,100,no,70.0,5.0,8.0,23,sun ,dogs ,medium,2001,10
artificial intelligence,yes,yes,mu,ja,male,no,6/8/2002,320,no,80.0,0.0,9.0,23,Listening to music ,Sunny days ,high,2002,8
computer science,yes,yes,sigma,ja,male,not willing to say,19/02/2000,440,no,7.0,2.0,9291.0,00,Productive,Joyful,low,2000,2
computer science,yes,unknown,unknown,ja,male,yes,13/05/2000,300,no,78.0,10.0,9.0,03,Waking up to a man,The man cooks,medium,2000,5
